id,quantity,item_price,total_sum
29465857,5,3500,17500
id,quantity,item_price,total_sum
29431866,1,210000,210000
29431865,1,115000,115000
id,quantity,item_price,total_sum
29409159,1,12000,12000
id,quantity,item_price,total_sum
29356253,2,170000,340000
id,quantity,item_price,total_sum
29356123,2000,139,278000
id,quantity,item_price,total_sum
29312533,90,1880,169200
id,quantity,item_price,total_sum
29312304,40,2700,108000
id,quantity,item_price,total_sum
29283517,30,2300,69000
id,quantity,item_price,total_sum
29283086,30,1800,54000
id,quantity,item_price,total_sum
29274492,2,3500,7000
id,quantity,item_price,total_sum
29269308,450,1904,856800
id,quantity,item_price,total_sum
29269247,2,2500,5000
id,quantity,item_price,total_sum
29269143,1,3000,3000
id,quantity,item_price,total_sum
29267586,2,1500,3000
id,quantity,item_price,total_sum
29267512,30,1498,44940
id,quantity,item_price,total_sum
29267435,20,300,6000
id,quantity,item_price,total_sum
29267348,20,120,2400
id,quantity,item_price,total_sum
29267140,10,299,2990
id,quantity,item_price,total_sum
29266634,20,140,2800
id,quantity,item_price,total_sum
29237723,1000,42.55,42548.8
id,quantity,item_price,total_sum
29237596,1000,24.63,24628.8
id,quantity,item_price,total_sum
29200449,1,9990000,9990000
id,quantity,item_price,total_sum
29200242,1,9990000,9990000
id,quantity,item_price,total_sum
29165719,1,37800,37800
29165718,1,30000,30000
id,quantity,item_price,total_sum
29005647,2,23800,47600
id,quantity,item_price,total_sum
28976442,1,380777.6,380777.6
id,quantity,item_price,total_sum
28796220,8,15120,120960
id,quantity,item_price,total_sum
28787101,1200,135,162000
id,quantity,item_price,total_sum
28768236,7,63840,446880
id,quantity,item_price,total_sum
28767323,10,14999,149990
id,quantity,item_price,total_sum
28722633,5,1759,8795
id,quantity,item_price,total_sum
28722155,5,11029.76,55148.8
id,quantity,item_price,total_sum
28704085,200,47,9400
id,quantity,item_price,total_sum
28703695,50,218.18,10908.8
id,quantity,item_price,total_sum
28703492,300,106.18,31852.8
id,quantity,item_price,total_sum
28656912,1,36000,36000
id,quantity,item_price,total_sum
28655692,1,120000,120000
id,quantity,item_price,total_sum
28653334,1,6707072,6707072
id,quantity,item_price,total_sum
28602023,1,1120,1120
id,quantity,item_price,total_sum
28552104,1,6590000,6590000
id,quantity,item_price,total_sum
28551871,3,6590000,19770000
id,quantity,item_price,total_sum
28497734,5,92400,462000
id,quantity,item_price,total_sum
28497060,5,154000,770000
id,quantity,item_price,total_sum
28483685,1,9790000,9790000
id,quantity,item_price,total_sum
28445076,7,53745,376215
id,quantity,item_price,total_sum
28444311,100,400,40000
id,quantity,item_price,total_sum
28409464,2,6390000,12780000
id,quantity,item_price,total_sum
28409266,2,7590000,15180000
id,quantity,item_price,total_sum
28408889,4,9790000,39160000
id,quantity,item_price,total_sum
28393424,1,336000,336000
id,quantity,item_price,total_sum
28331850,1,266219,266219
id,quantity,item_price,total_sum
28331569,2,35000,70000
id,quantity,item_price,total_sum
28331356,8,7300,58400
id,quantity,item_price,total_sum
28331174,2,129800,259600
id,quantity,item_price,total_sum
28331013,7,44444,311108
id,quantity,item_price,total_sum
28330040,8,166941.6,1335532.8
id,quantity,item_price,total_sum
28249466,8,118440.64,947525.11
id,quantity,item_price,total_sum
28223174,1,102890.2,102890.2
id,quantity,item_price,total_sum
28200803,1,20000,20000
id,quantity,item_price,total_sum
28198637,5,95000,532000
id,quantity,item_price,total_sum
28198628,1,147000,147000
id,quantity,item_price,total_sum
28193290,1000,160,160000
id,quantity,item_price,total_sum
28193082,2,95199.99,190399.98
id,quantity,item_price,total_sum
28155753,1,124230.4,124230.4
id,quantity,item_price,total_sum
28155752,9,37138.08,334242.72
id,quantity,item_price,total_sum
28155751,1,1401803.2,1401803.2
id,quantity,item_price,total_sum
28155750,15,53443.04,801645.6
id,quantity,item_price,total_sum
28155749,3,149500.01,448500.02
id,quantity,item_price,total_sum
28155748,5,125440,627200
id,quantity,item_price,total_sum
28155747,8,92400,739200
id,quantity,item_price,total_sum
28155745,10,12544,125440
id,quantity,item_price,total_sum
28155743,20,42355.04,847100.8
id,quantity,item_price,total_sum
28155734,2,112558.88,225117.76
id,quantity,item_price,total_sum
28065903,1,180000,180000
28065902,1,180000,180000
id,quantity,item_price,total_sum
28065587,1,168000,168000
28065586,1,192000,192000
id,quantity,item_price,total_sum
28016788,1,318080,318080
id,quantity,item_price,total_sum
27969712,1,37800,37800
id,quantity,item_price,total_sum
27968739,15,290416,4356240
id,quantity,item_price,total_sum
27960808,200,237316.8,47463360
id,quantity,item_price,total_sum
27904744,1,147000,147000
id,quantity,item_price,total_sum
27753773,2000,38.98,77952
27753772,30,120.96,3628.8
27753771,20,236.1,4721.92
27753768,20,240.58,4811.52
27753766,30,98.56,2956.8
27753765,500,94.98,47488
id,quantity,item_price,total_sum
27753262,5,3389,16945
id,quantity,item_price,total_sum
27753255,10,918,9180
id,quantity,item_price,total_sum
27717142,10,1215,12150
id,quantity,item_price,total_sum
27711847,85,500,42500
id,quantity,item_price,total_sum
27711637,1,67200,67200
id,quantity,item_price,total_sum
27704467,15,2128,31920
id,quantity,item_price,total_sum
27704463,2,1437890,2875780
id,quantity,item_price,total_sum
27704461,1,997407.16,997407.16
id,quantity,item_price,total_sum
27704458,2,11632,23263.99
id,quantity,item_price,total_sum
27552895,1,179300,179300
id,quantity,item_price,total_sum
27545096,3,80775,242325.01
id,quantity,item_price,total_sum
27544307,1,124705,124705
id,quantity,item_price,total_sum
27543909,1,23000,23000
id,quantity,item_price,total_sum
27533758,1,568960,568960
id,quantity,item_price,total_sum
27533724,2,84400,168800
id,quantity,item_price,total_sum
27533703,1,123054.4,123054.4
id,quantity,item_price,total_sum
27443925,2000,13,26000
id,quantity,item_price,total_sum
27443688,1,555520,555520
id,quantity,item_price,total_sum
27372458,1,37500,37500
id,quantity,item_price,total_sum
27288160,1,210000,210000
id,quantity,item_price,total_sum
27287810,1,24000,24000
id,quantity,item_price,total_sum
27287285,1,350000,350000
id,quantity,item_price,total_sum
27231524,300,48000,14400000
id,quantity,item_price,total_sum
27202187,1,180000,180000
id,quantity,item_price,total_sum
27176531,200,238560,47712000
id,quantity,item_price,total_sum
27099593,30,616,18480
id,quantity,item_price,total_sum
